graph_layer,factor_name,label_horizon,label_variant,sample_size,rank_ic,top_decile_mean,bottom_decile_mean,top_bottom_spread,top_decile_hit_rate,layer_role,score,confidence_bucket,research_action
large_trade_alignment_graph,community_member_count,1m,top5_member,45,0.067746621750472,-0.0006018340395397,-0.0014910528023094,0.0008892187627697,0.5,sparse_event_flag,0.11264622588556658,ignore,ignore_sparse
dtw_trade_flow_similarity_graph,community_mean_volume_z_12,1m,top5_member,1999,0.0306460077115479,0.0007817068823016,0.0001217785365073,0.0006599283457943,0.5778894472361809,pair_flow_leadlag_candidate,0.1011633907031693,watch,watch
dtw_return_similarity_graph,edge_density_feature,15m,top10_member,4216,0.0267098128523262,-0.0003224528686802,-0.000982874098842,0.0006604212301617,0.4726840855106888,weak_pair_candidate,0.09682316777211555,usable,keep_for_next_round
large_trade_alignment_graph,community_member_count,15m,equal_weight,44,-0.0574554231701434,-0.0007564931747949,-0.0022345090884942,0.0014780159136992,0.25,sparse_event_flag,0.09498602456913889,ignore,ignore_sparse
large_trade_alignment_graph,community_member_count,15m,member_weight,44,-0.0574554231701434,-0.0007564931747949,-0.0022345090884942,0.0014780159136992,0.25,sparse_event_flag,0.09498602456913889,ignore,ignore_sparse
large_trade_alignment_graph,community_member_count,15m,top10_member,44,-0.0574554231701434,-0.0007564931747949,-0.0022345090884942,0.0014780159136992,0.25,sparse_event_flag,0.09498602456913889,ignore,ignore_sparse
volume_expansion_graph,edge_density_feature,30m,top10_member,23962,0.0216170470100318,0.0020385153343306,-0.0012257281516421,0.0032642434859727,0.4891485809682804,theme_candidate_layer,0.0946727477380184,strong_sample,prioritize_for_next_round
dtw_return_similarity_graph,edge_density_feature,15m,equal_weight,4216,0.0260084991677631,-0.0003224528686802,-0.0010052913340096,0.0006828384653293,0.4726840855106888,weak_pair_candidate,0.09428090314013332,usable,keep_for_next_round
dtw_return_similarity_graph,edge_density_feature,15m,member_weight,4216,0.0260084991677631,-0.0003224528686802,-0.0010052913340096,0.0006828384653293,0.4726840855106888,weak_pair_candidate,0.09428090314013332,usable,keep_for_next_round
large_trade_alignment_graph,community_member_count,30m,equal_weight,37,-0.0584120101189213,-0.005924310693444,-0.0066069331939667,0.0006826225005226,0.0,sparse_event_flag,0.092278335431287,ignore,ignore_sparse
large_trade_alignment_graph,community_member_count,30m,member_weight,37,-0.0584120101189213,-0.005924310693444,-0.0066069331939667,0.0006826225005226,0.0,sparse_event_flag,0.092278335431287,ignore,ignore_sparse
large_trade_alignment_graph,community_member_count,30m,top10_member,37,-0.0584120101189213,-0.005924310693444,-0.0066069331939667,0.0006826225005226,0.0,sparse_event_flag,0.092278335431287,ignore,ignore_sparse
large_trade_alignment_graph,edge_density_feature,30m,equal_weight,37,0.0584120101189213,0.0016816200779196,-0.0053895600383306,0.0070711801162502,0.6666666666666666,sparse_event_flag,0.092278335431287,ignore,ignore_sparse
large_trade_alignment_graph,edge_density_feature,30m,member_weight,37,0.0584120101189213,0.0016816200779196,-0.0053895600383306,0.0070711801162502,0.6666666666666666,sparse_event_flag,0.092278335431287,ignore,ignore_sparse
large_trade_alignment_graph,edge_density_feature,30m,top10_member,37,0.0584120101189213,0.0016816200779196,-0.0053895600383306,0.0070711801162502,0.6666666666666666,sparse_event_flag,0.092278335431287,ignore,ignore_sparse
dtw_trade_flow_similarity_graph,community_mean_volume_z_12,1m,equal_weight,1999,0.0270084509424445,0.0007284940495768,0.0001424343833134,0.0005860596662633,0.5628140703517588,pair_flow_leadlag_candidate,0.08915570669742842,watch,watch
dtw_trade_flow_similarity_graph,community_mean_volume_z_12,1m,member_weight,1999,0.0270084509424445,0.0007284940495768,0.0001424343833134,0.0005860596662633,0.5628140703517588,pair_flow_leadlag_candidate,0.08915570669742842,watch,watch
volume_expansion_graph,edge_density_feature,15m,equal_weight,25943,0.0200245756750177,0.0004218842231384,-0.001633830619481,0.0020557148426195,0.4934464148033924,theme_candidate_layer,0.08838921665054536,strong_sample,prioritize_for_next_round
volume_expansion_graph,edge_density_feature,15m,member_weight,25943,0.0200245756750177,0.0004218842231384,-0.001633830619481,0.0020557148426195,0.4934464148033924,theme_candidate_layer,0.08838921665054536,strong_sample,prioritize_for_next_round
dtw_trade_flow_similarity_graph,community_member_count,5m,top10_member,1998,-0.0259236593137397,-9.004793123614912e-05,-0.000148459339547,5.841140831092142e-05,0.457286432160804,pair_flow_leadlag_candidate,0.08556914633315128,watch,watch
dtw_trade_flow_similarity_graph,community_mean_volume_z_12,1m,top10_member,1999,0.0258348513790189,0.0007175203768844,0.000141312588291,0.0005762077885934,0.5527638190954773,pair_flow_leadlag_candidate,0.08528161933566235,watch,watch
flow_alignment_graph,community_member_count,30m,top5_member,26648,0.0186804993219289,-0.0002585240481816,-0.001469153234977,0.0012106291867954,0.4628378378378378,event_alignment_layer,0.0826739293658908,strong_sample,keep_for_next_round
return_corr_graph,community_member_count,30m,equal_weight,24605,0.0187893543994776,0.00048015831078,-1.8095259190259836e-05,0.0004982535699703,0.53130081300813,beta_context_layer,0.08250482590124433,strong_sample,keep_for_next_round
return_corr_graph,community_member_count,30m,member_weight,24605,0.0187893543994776,0.00048015831078,-1.8095259190259836e-05,0.0004982535699703,0.53130081300813,beta_context_layer,0.08250482590124433,strong_sample,keep_for_next_round
dtw_return_similarity_graph,community_avg_weight_feature,15m,equal_weight,4216,0.0220284057753046,1.1715142035223444e-05,-4.494710818854952e-05,5.666225022377296e-05,0.4964370546318289,weak_pair_candidate,0.07985305026009579,usable,keep_for_next_round
dtw_return_similarity_graph,community_avg_weight_feature,15m,member_weight,4216,0.0220284057753046,1.1715142035223444e-05,-4.494710818854952e-05,5.666225022377296e-05,0.4964370546318289,weak_pair_candidate,0.07985305026009579,usable,keep_for_next_round
dtw_return_similarity_graph,community_avg_weight_feature,15m,top10_member,4216,0.0218848855486718,1.1715142035223444e-05,-4.494710818854952e-05,5.666225022377296e-05,0.4964370546318289,weak_pair_candidate,0.07933278892173341,usable,keep_for_next_round
large_trade_alignment_graph,community_member_count,15m,top5_member,44,-0.0476285645865603,-0.0009770942809183,-0.0022345090884942,0.0012574148075758,0.25,sparse_event_flag,0.07874013898765866,ignore,ignore_sparse
large_trade_alignment_graph,edge_density_feature,15m,top5_member,44,0.0476285645865603,-0.0010148765611534,-0.0010675167897578,5.2640228604375295e-05,0.5,sparse_event_flag,0.07874013898765866,ignore,ignore_sparse
large_trade_alignment_graph,community_avg_weight_feature,5m,equal_weight,45,0.0472300446265026,-0.002044755559717,-0.0026343141226203,0.0005895585629032,0.0,sparse_event_flag,0.07853212659338744,ignore,ignore_sparse
large_trade_alignment_graph,community_avg_weight_feature,5m,member_weight,45,0.0472300446265026,-0.002044755559717,-0.0026343141226203,0.0005895585629032,0.0,sparse_event_flag,0.07853212659338744,ignore,ignore_sparse
large_trade_alignment_graph,community_avg_weight_feature,5m,top10_member,45,0.0472300446265026,-0.002044755559717,-0.0026343141226203,0.0005895585629032,0.0,sparse_event_flag,0.07853212659338744,ignore,ignore_sparse
return_corr_graph,community_mean_volume_z_12,1m,top5_member,24938,0.0178306203585134,0.0001676504692922,-5.008984928677521e-05,0.000217740318579,0.5270758122743683,beta_context_layer,0.07839908083934224,strong_sample,keep_for_next_round
dtw_return_similarity_graph,community_avg_weight_feature,15m,top5_member,4216,0.020615059789546,1.1715142035223444e-05,-4.494710818854952e-05,5.666225022377296e-05,0.4964370546318289,weak_pair_candidate,0.07472966597224097,usable,keep_for_next_round
flow_alignment_graph,community_member_count,5m,top10_member,27725,0.0166660660217476,-1.8343921854079956e-05,-0.0005646139762226,0.0005462700543685,0.4974747474747474,event_alignment_layer,0.07404545171740512,strong_sample,keep_for_next_round
return_corr_graph,community_member_count,15m,equal_weight,24774,0.0165403442248287,0.0001369492863838,-4.379865426762095e-05,0.0001807479406514,0.5098909971740008,beta_context_layer,0.07267849851722247,strong_sample,keep_for_next_round
return_corr_graph,community_member_count,15m,member_weight,24774,0.0165403442248287,0.0001369492863838,-4.379865426762095e-05,0.0001807479406514,0.5098909971740008,beta_context_layer,0.07267849851722247,strong_sample,keep_for_next_round
flow_alignment_graph,community_member_count,5m,equal_weight,27746,0.0162855812975204,-2.716049142730418e-05,-0.0006567009114173,0.00062954041999,0.4956741167988464,event_alignment_layer,0.07236035594685386,strong_sample,keep_for_next_round
