strategy_id,entry_standard,exit_standard,holding_policy,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,trade_count,avg_holding_days,open_trade_ratio,return_from_long_holds,long_hold_contribution
E5_X6_H3,Expansion Entry,Rotation-out Exit,Fixed 5D,0.1712678408877597,0.9424780524213014,0.1708602045402627,3.9762214512025116,-0.055548169201180886,0.6326530612244898,49,1.0612244897959184,0.02040816326530612,0.0,0.0
E5_X6_H4,Expansion Entry,Rotation-out Exit,Fixed 10D,0.1712678408877597,0.9424780524213014,0.1708602045402627,3.9762214512025116,-0.055548169201180886,0.6326530612244898,49,1.0612244897959184,0.02040816326530612,0.0,0.0
E5_X6_H5,Expansion Entry,Rotation-out Exit,Event-driven Hold,0.1712678408877597,0.9424780524213014,0.1708602045402627,3.9762214512025116,-0.055548169201180886,0.6326530612244898,49,1.0612244897959184,0.02040816326530612,0.0,0.0
E5_X7_H2,Expansion Entry,Composite Structural Exit,Fixed 3D,0.1712678408877597,0.9424780524213014,0.1708602045402627,3.9762214512025116,-0.055548169201180886,0.6326530612244898,49,1.0612244897959184,0.02040816326530612,0.0,0.0
E5_X7_H3,Expansion Entry,Composite Structural Exit,Fixed 5D,0.1712678408877597,0.9424780524213014,0.1708602045402627,3.9762214512025116,-0.055548169201180886,0.6326530612244898,49,1.0612244897959184,0.02040816326530612,0.0,0.0
E5_X7_H4,Expansion Entry,Composite Structural Exit,Fixed 10D,0.1712678408877597,0.9424780524213014,0.1708602045402627,3.9762214512025116,-0.055548169201180886,0.6326530612244898,49,1.0612244897959184,0.02040816326530612,0.0,0.0
E5_X7_H5,Expansion Entry,Composite Structural Exit,Event-driven Hold,0.1712678408877597,0.9424780524213014,0.1708602045402627,3.9762214512025116,-0.055548169201180886,0.6326530612244898,49,1.0612244897959184,0.02040816326530612,0.0,0.0
E5_X2_H2,Expansion Entry,Lifecycle Exit,Fixed 3D,0.16255359657667312,0.8824980416410202,0.1737846629961384,3.731297292986571,-0.055548169201180886,0.6326530612244898,49,1.0612244897959184,0.02040816326530612,0.0,0.0
E5_X2_H3,Expansion Entry,Lifecycle Exit,Fixed 5D,0.16255359657667312,0.8824980416410202,0.1737846629961384,3.731297292986571,-0.055548169201180886,0.6326530612244898,49,1.0612244897959184,0.02040816326530612,0.0,0.0
E5_X2_H4,Expansion Entry,Lifecycle Exit,Fixed 10D,0.16255359657667312,0.8824980416410202,0.1737846629961384,3.731297292986571,-0.055548169201180886,0.6326530612244898,49,1.0612244897959184,0.02040816326530612,0.0,0.0
E5_X2_H5,Expansion Entry,Lifecycle Exit,Event-driven Hold,0.16255359657667312,0.8824980416410202,0.1737846629961384,3.731297292986571,-0.055548169201180886,0.6326530612244898,49,1.0612244897959184,0.02040816326530612,0.0,0.0
E5_X1_H1,Expansion Entry,No Signal Exit,Fixed 1D,0.15263702403460866,0.8159704410852895,0.17154243686835344,3.567564044820827,-0.055548169201180886,0.6326530612244898,49,0.9795918367346939,0.02040816326530612,0.0,0.0
E5_X2_H1,Expansion Entry,Lifecycle Exit,Fixed 1D,0.15263702403460866,0.8159704410852895,0.17154243686835344,3.567564044820827,-0.055548169201180886,0.6326530612244898,49,0.9795918367346939,0.02040816326530612,0.0,0.0
E5_X3_H1,Expansion Entry,Coherence Breakdown,Fixed 1D,0.15263702403460866,0.8159704410852895,0.17154243686835344,3.567564044820827,-0.055548169201180886,0.6326530612244898,49,0.9795918367346939,0.02040816326530612,0.0,0.0
E5_X4_H1,Expansion Entry,Breadth Breakdown,Fixed 1D,0.15263702403460866,0.8159704410852895,0.17154243686835344,3.567564044820827,-0.055548169201180886,0.6326530612244898,49,0.9795918367346939,0.02040816326530612,0.0,0.0
E5_X5_H1,Expansion Entry,Relative Strength Exit,Fixed 1D,0.15263702403460866,0.8159704410852895,0.17154243686835344,3.567564044820827,-0.055548169201180886,0.6326530612244898,49,0.9795918367346939,0.02040816326530612,0.0,0.0
E5_X6_H1,Expansion Entry,Rotation-out Exit,Fixed 1D,0.15263702403460866,0.8159704410852895,0.17154243686835344,3.567564044820827,-0.055548169201180886,0.6326530612244898,49,0.9795918367346939,0.02040816326530612,0.0,0.0
E5_X7_H1,Expansion Entry,Composite Structural Exit,Fixed 1D,0.15263702403460866,0.8159704410852895,0.17154243686835344,3.567564044820827,-0.055548169201180886,0.6326530612244898,49,0.9795918367346939,0.02040816326530612,0.0,0.0
E3_X4_H3,15m Confirmation,Breadth Breakdown,Fixed 5D,0.17682317837185368,0.9814681544662542,0.22136086415852194,3.2038424181449425,-0.06041338155818421,0.6149068322981367,161,1.0807453416149069,0.018633540372670808,0.0,0.0
E3_X4_H4,15m Confirmation,Breadth Breakdown,Fixed 10D,0.17682317837185368,0.9814681544662542,0.22136086415852194,3.2038424181449425,-0.06041338155818421,0.6149068322981367,161,1.0807453416149069,0.018633540372670808,0.0,0.0
E3_X4_H5,15m Confirmation,Breadth Breakdown,Event-driven Hold,0.17682317837185368,0.9814681544662542,0.22136086415852194,3.2038424181449425,-0.06041338155818421,0.6149068322981367,161,1.0807453416149069,0.018633540372670808,0.0,0.0
E4_X5_H2,Cross-resolution Confirmation,Relative Strength Exit,Fixed 3D,0.1862335044444965,1.048871787100489,0.23635345899654128,3.1565590598024365,-0.048016549781952245,0.5911949685534591,159,1.0754716981132075,0.018867924528301886,0.0,0.0
E4_X5_H3,Cross-resolution Confirmation,Relative Strength Exit,Fixed 5D,0.1862335044444965,1.048871787100489,0.23635345899654128,3.1565590598024365,-0.048016549781952245,0.5911949685534591,159,1.0754716981132075,0.018867924528301886,0.0,0.0
E4_X5_H4,Cross-resolution Confirmation,Relative Strength Exit,Fixed 10D,0.1862335044444965,1.048871787100489,0.23635345899654128,3.1565590598024365,-0.048016549781952245,0.5911949685534591,159,1.0754716981132075,0.018867924528301886,0.0,0.0
E4_X5_H5,Cross-resolution Confirmation,Relative Strength Exit,Event-driven Hold,0.1862335044444965,1.048871787100489,0.23635345899654128,3.1565590598024365,-0.048016549781952245,0.5911949685534591,159,1.0754716981132075,0.018867924528301886,0.0,0.0
