graph_layer,layer_role,factor_name,label_horizon,label_variant,first_sample_size,first_rank_ic,first_top_bottom_spread,first_top_decile_hit_rate,first_score,first_confidence_bucket,first_research_action,second_sample_size,second_rank_ic,second_top_bottom_spread,second_top_decile_hit_rate,second_score,second_confidence_bucket,second_research_action,first_window_id,second_window_id,first_score_sign,second_score_sign,score_direction_consistent,rank_ic_direction_consistent,sample_qualified_both,research_action_consistent,score_delta,sample_size_delta,stability_bucket,research_decision
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_mean_volume_z_12,30m,top10_member,1997,0.0145211664102735,0.001933753337269,0.4773869346733668,0.0479284962745633,watch,watch,1638,0.0115802510051944,-0.0005772241837473,0.5398773006134969,-0.0372256311583615,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,1,-1,False,True,False,True,-0.0851541274329248,-359,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_mean_volume_z_12,5m,top10_member,1998,-0.0048577629354231,-0.0002840957288891,0.542713567839196,-0.0160345660480373,watch,watch,1640,0.0293007429314502,0.0013755434566243,0.5,0.0942050700301363,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,-1,1,False,False,False,True,0.1102396360781736,-358,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_mean_volume_z_12,15m,top5_member,1997,0.0415432956893889,0.0006658070517616,0.5276381909547738,0.1371176141383024,watch,watch,1639,0.0140305008109565,0.0007289013435073,0.5276073619631901,0.0451058692171317,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,1,1,True,True,False,True,-0.0920117449211707,-358,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_mean_volume_z_12,1m,top5_member,1999,0.0306460077115479,0.0006599283457943,0.5778894472361809,0.1011633907031693,watch,watch,1640,-0.0085447863577472,0.0006534719847272,0.5365853658536586,0.0274724159420584,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,1,1,True,False,False,True,-0.0736909747611109,-359,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_mean_volume_z_12,30m,top5_member,1997,0.0148133714345362,0.0018826575695069,0.4874371859296482,0.0488929468580147,watch,watch,1638,0.0202450476595011,-0.0003714341935702,0.5766871165644172,-0.0650793041202639,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,1,-1,False,True,False,True,-0.1139722509782786,-359,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_mean_volume_z_12,5m,top5_member,1998,0.0011127246151044,-0.0002635552306739,0.5527638190954773,-0.0036728956458667,watch,watch,1640,0.0289639237484353,0.0013872597925299,0.5,0.0931221597845618,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,-1,1,False,True,False,True,0.0967950554304285,-358,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_quality_score,15m,core_weighted,1997,-0.0536329554669638,-0.0022514851987964,0.4170854271356783,-0.1770206906019322,watch,watch,1639,-0.0575256277218792,-0.0008415587234344,0.4539877300613497,-0.1849359103867654,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,-1,-1,True,True,False,True,-0.0079152197848332,-358,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_quality_score,1m,core_weighted,1999,-0.0321385753781432,-0.001109142184259,0.4522613065326633,-0.1060904013411585,watch,watch,1640,-0.0268568583884832,-0.0002831308011599,0.5060975609756098,-0.08634771586494,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,-1,-1,True,True,False,True,0.019742685476218505,-359,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_quality_score,30m,core_weighted,1997,-0.0474694572553917,-0.0026620559685118,0.4170854271356783,-0.1566774762398535,watch,watch,1638,-0.065113407984361,-0.0017677083369829,0.4662576687116564,-0.2093121909017761,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,-1,-1,True,True,False,True,-0.0526347146619226,-359,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_quality_score,5m,core_weighted,1998,-0.0444956870815923,-0.0012237411370419,0.4522613065326633,-0.1468719332019961,watch,watch,1640,-0.0506844388472368,-0.0001776088273029,0.4817073170731707,-0.1629559742636117,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,-1,-1,True,True,False,True,-0.016084041061615595,-358,insufficient_sample,needs_more_sample
