graph_layer,factor_name,label_horizon,label_variant,sample_size,rank_ic,top_decile_mean,bottom_decile_mean,top_bottom_spread,top_decile_hit_rate
flow_alignment_graph,flow_breadth_expansion,5m,member_weight,27044,-0.026407925315478347,-0.0004827112377101203,0.0006156549130280293,-0.0010983661507381495,0.47004437869822485
flow_alignment_graph,flow_breadth_expansion,15m,member_weight,26980,-0.026982238989893804,-0.0004109548301615879,0.0009605735911380434,-0.0013715284212996314,0.4633061527057079
flow_alignment_graph,flow_breadth_expansion,30m,member_weight,26903,0.0055108940041638885,-2.7762342444912265e-06,0.0015461903920995488,-0.0015489666263440401,0.5234200743494424
flow_alignment_graph,flow_breadth_expansion,1m,top5_member,27127,-0.0008027036556475189,-3.4746901293572465e-05,0.00020153352669531241,-0.00023628042798888487,0.497787610619469
flow_alignment_graph,flow_breadth_expansion,5m,top5_member,26971,-0.016058610275195895,-0.0004984589253394843,0.0006212794610735726,-0.0011197383864130568,0.4690396737115313
flow_alignment_graph,flow_breadth_expansion,15m,top5_member,26603,-0.014459639862471608,-0.0005048243847677509,0.0008072335243813876,-0.0013120579091491385,0.4642857142857143
flow_alignment_graph,flow_breadth_expansion,30m,top5_member,25912,0.01462671132831694,5.24779815738963e-05,-0.00017946296436893998,0.00023194094594283627,0.5082979544577383
flow_alignment_graph,flow_breadth_expansion,1m,top10_member,27127,-0.0049892594289376825,-2.580076120937033e-05,0.00023211875460817685,-0.00025791951581754716,0.4944690265486726
flow_alignment_graph,flow_breadth_expansion,5m,top10_member,27025,-0.015251651761419589,-0.00046505945729531715,0.0005900200369864872,-0.0010550794942818043,0.46965210954848263
flow_alignment_graph,flow_breadth_expansion,15m,top10_member,26802,-0.010822144814528206,-0.0004534271252282935,0.0008001347239175471,-0.0012535618491458407,0.47313432835820896
flow_alignment_graph,flow_breadth_expansion,30m,top10_member,26322,0.010435398762062958,-2.0106963964410983e-05,0.0004369268054740541,-0.0004570337694384651,0.5015197568389058
flow_alignment_graph,flow_breadth_expansion,1m,core_weighted,27127,-0.004899516386345744,-3.403041632193988e-05,0.00025165725087081286,-0.0002856876671927527,0.4915191740412979
flow_alignment_graph,flow_breadth_expansion,5m,core_weighted,27044,-0.026068099975345205,-0.00048080083590130036,0.0006309184661092157,-0.0011117193020105161,0.47226331360946744
flow_alignment_graph,flow_breadth_expansion,15m,core_weighted,26980,-0.02659941024072759,-0.0004074999960712986,0.001022248321043553,-0.0014297483171148515,0.4603409933283914
flow_alignment_graph,flow_breadth_expansion,30m,core_weighted,26903,0.006434341681591293,-5.279028526768535e-07,0.0015937110901477873,-0.0015942389930004642,0.5267657992565056
flow_alignment_graph,community_mean_flow_impulse_score,1m,equal_weight,0,,,,,
flow_alignment_graph,community_mean_flow_impulse_score,5m,equal_weight,0,,,,,
flow_alignment_graph,community_mean_flow_impulse_score,15m,equal_weight,0,,,,,
flow_alignment_graph,community_mean_flow_impulse_score,30m,equal_weight,0,,,,,
flow_alignment_graph,community_mean_flow_impulse_score,1m,member_weight,0,,,,,
flow_alignment_graph,community_mean_flow_impulse_score,5m,member_weight,0,,,,,
flow_alignment_graph,community_mean_flow_impulse_score,15m,member_weight,0,,,,,
flow_alignment_graph,community_mean_flow_impulse_score,30m,member_weight,0,,,,,
flow_alignment_graph,community_mean_flow_impulse_score,1m,top5_member,0,,,,,
flow_alignment_graph,community_mean_flow_impulse_score,5m,top5_member,0,,,,,
flow_alignment_graph,community_mean_flow_impulse_score,15m,top5_member,0,,,,,
flow_alignment_graph,community_mean_flow_impulse_score,30m,top5_member,0,,,,,
flow_alignment_graph,community_mean_flow_impulse_score,1m,top10_member,0,,,,,
flow_alignment_graph,community_mean_flow_impulse_score,5m,top10_member,0,,,,,
flow_alignment_graph,community_mean_flow_impulse_score,15m,top10_member,0,,,,,
flow_alignment_graph,community_mean_flow_impulse_score,30m,top10_member,0,,,,,
flow_alignment_graph,community_mean_flow_impulse_score,1m,core_weighted,0,,,,,
flow_alignment_graph,community_mean_flow_impulse_score,5m,core_weighted,0,,,,,
flow_alignment_graph,community_mean_flow_impulse_score,15m,core_weighted,0,,,,,
flow_alignment_graph,community_mean_flow_impulse_score,30m,core_weighted,0,,,,,
flow_alignment_graph,community_quality_score,1m,equal_weight,27127,-0.004962869443582123,-0.00014488716637830212,0.00010699925401742322,-0.00025188642039572533,0.49336283185840707
