source_symbol,symbol,status,row_count,min_timestamp,max_timestamp,exchange_timezone,last_fetch_at,error_message
ALRS,ALRS,success,3346,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:44.893157+00:00,
ALSN,ALSN,success,4649,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:47.646903+00:00,
ALTG,ALTG,success,4016,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:38.777289+00:00,
ALTO,ALTO,success,4667,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:09.429321+00:00,
ALV,ALV,success,4652,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:46.771040+00:00,
ALVO,ALVO,success,4141,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:28.336587+00:00,
ALX,ALX,success,1390,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:19.410021+00:00,
AM,AM,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:12:45.142836+00:00,
AMAL,AMAL,success,3240,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:14:20.632773+00:00,
AMAN,AMAN,success,237,2026-05-19 14:00:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:15:55.341958+00:00,
AMAT,AMAT,success,4681,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:11:46.205537+00:00,
AMBA,AMBA,success,4657,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:46.157125+00:00,
AMBP,AMBP,success,4659,2026-03-12 13:30:00+00:00,2026-06-05 20:00:00+00:00,America/New_York,2026-06-07 10:13:52.736035+00:00,
