lifecycle_id,cluster_name,dominant_sector,dominant_industry,first_date,last_date,active_days,peak_momentum_score,avg_momentum_score,return_2m,avg_relative_strength_10d,top_members
L006,TECH/SEMIMFR :: AAOI-AAON-ACLS,TECH,SEMIMFR,2026-04-09 00:00:00-04:00,2026-04-20 00:00:00-04:00,8,1.2028137838098825,0.912503444580028,0.11021572774000485,0.09734875230804055,"AAOI, KRMD, ON, ONTO, OPTX, OPXS"
L073,FINANCIAL/INVESTSVCE :: ABNB-APO-AQST,CONSUMERSVCE,HOSPITALITY,2026-05-14 00:00:00-04:00,2026-06-02 00:00:00-04:00,13,1.129782211964938,0.2922613134533968,0.09509174469339111,0.007954706277252194,"ABNB, ONDS, OWL, OVBC, OTF, OSIS"
L093,TECH/COMMEQUIP :: ADEA-AES-AIRJ,CYCLICALS,SOFTW,2026-06-01 00:00:00-04:00,2026-06-05 00:00:00-04:00,5,0.9926519736734658,0.5124741210624579,0.03964173769228283,0.062211769019078045,"AAOI, PRCT, RCUS, RBLX, RAMP, RACE"
L007,FINANCIAL/REIT :: AAT-ADC-AHR,BIZSVCE,BIZSUPPORT,2026-04-09 00:00:00-04:00,2026-05-01 00:00:00-04:00,17,0.9756464711853204,0.1697206836130514,0.05229362846209584,-0.004082679467347217,"AAT, ORA, OSCR, OSUR, OSW, OTIS"
L043,INDUSTRIAL/MACHINE :: AAP-ABBV-ABR,UNKNOWN,UNKNOWN,2026-04-30 00:00:00-04:00,2026-05-13 00:00:00-04:00,10,0.9295236135810556,0.6127057204205076,0.08775599057534382,0.05388134880498929,"AAOI, NVCR, ORC, OCCI, OCC, NWPX"
L001,TECH/COMMEQUIP :: ADV-AGM-AIP,UNKNOWN,UNKNOWN,2026-04-09 00:00:00-04:00,2026-04-09 00:00:00-04:00,1,0.9293263114690675,0.9293263114690675,0.006798599270249717,0.08954286156837596,"ADV, NVCR, KC, KEEL, KOD, KRMN"
L074,TECH/SEMIMFR :: AAOI-ACA-AEHR,UNKNOWN,UNKNOWN,2026-05-14 00:00:00-04:00,2026-05-22 00:00:00-04:00,7,0.9229286667076166,0.5936969693778328,-0.01536068242056698,0.01187957488543919,"AAOI, NXST, ORMP, ORKA, ORA, ONTO"
L002,FINANCIAL/BANKSUSA :: ABCB-ABG-ACEL,UNKNOWN,UNKNOWN,2026-04-09 00:00:00-04:00,2026-05-07 00:00:00-04:00,21,0.9077022860743276,0.06981316901323134,0.022450820374000476,-0.0324913788751901,"ABCB, PAC, OPBK, OPCH, OPLN, OPXS"
L004,CONSUMERSVCE/HOSPITALITY :: APLE-CCS-CLDT,UNKNOWN,UNKNOWN,2026-04-09 00:00:00-04:00,2026-04-14 00:00:00-04:00,4,0.9035733434563538,0.5507187773138618,0.040562600282339954,0.0065619145251491085,"ACIC, MTN, NRIM, OBT, OZK, PAG"
L097,HEALTHCARE/HCARESUPPORT :: ASMB-BBNX-BRSL,UNKNOWN,UNKNOWN,2026-06-04 00:00:00-04:00,2026-06-05 00:00:00-04:00,2,0.771102178597936,0.5752806053518564,-0.02486244204678772,0.059327583169188826,"ACU, RNW, RCEL, QURE, QUBT, PTON"
